20210225-13:59:48.374 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:06:59 [UTC]
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.376 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:07:26 [UTC]
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:11:59 [UTC]
20210225-13:59:48.377 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:13:42 [UTC]
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.378 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:13:46 [UTC]
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:13:49 [UTC]
20210225-13:59:48.379 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:14:11 [UTC]
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.380 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:14:59 [UTC]
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.1 VDC
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.381 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:21:57 [UTC]
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.382 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 0
20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:21:58 [UTC]
20210225-13:59:48.383 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 0
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 430
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event detail: Zone Output, value: 2
20210225-13:59:48.384 [etscrape] [DEBUG   ] Adding event: ZONECHANGE, occurred: 24/02/2021 23:22:00 [UTC]
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Battery Voltage, value: 14.2 VDC
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Sign-on ID, value: 38176
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: Current Speed, value: 0
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: From Zone, value: 430
20210225-13:59:48.385 [etscrape] [DEBUG   ] Adding event detail: To Zone, value: 0
